Code,Position,Encodes,Meaning,Note
A,First Letter,Product Type,Tuner,
B,First Letter,Product Type,Tabletop,
F,First Letter,Product Type,Console,
H,First Letter,Product Type,Radio with pickup,
L,First Letter,Product Type,Portable,
N,First Letter,Product Type,Car Radio,
P,First Letter,Product Type,Portable / Car Radio,
T,First Letter,Product Type,Television,
X,Second Letter,Production Origin,Netherlands/Belgium,
A,Second Letter,Production Origin,Austria,
IN,Second Letter,Production Origin,Indonesia,
D,Second Letter,Production Origin,Germany,
DK,Second Letter,Production Origin,Denmark,
E,Second Letter,Production Origin,Spain,
F,Second Letter,Production Origin,France,
R,Second Letter,Production Origin,Brazil,
G,Second Letter,Production Origin,Great Britain,
IN,Second Letter,Production Origin,Italy,
IF,Second Letter,Production Origin,Ireland,
N,Second Letter,Production Origin,Norway,
S,Second Letter,Production Origin,Sweden,
SF,Second Letter,Production Origin,Finland,
W,Second Letter,Production Origin,U.S.A.,
ZA,Second Letter,Production Origin,South Africa,
A,Third Letter,Power Supply,"Mains, AC only",
B,Third Letter,Power Supply,Batteries,
T,Third Letter,Power Supply,"Transistorized, low voltage batt.",
U,Third Letter,Power Supply,"Mains, AC or DC",
V,Third Letter,Power Supply,"Accumulator, with vibrator unit",
X,Third Letter,Power Supply,"Mains, AC or, with vibrator, DC",
Z,Third Letter,Power Supply,Mix of accu /socket,
0,First Digit,Price Class,Very Cheap,
1,First Digit,Price Class,Plain Cheap,
3,First Digit,Price Class,Standard Salon-Radio,
5,First Digit,Price Class,Quite Good,
6,First Digit,Price Class,Radios with Built-in Phono Unit,
9,First Digit,Price Class,Top-Line Expensive,
2Digits,Suffix,Various,See note,"Suffix, a slash and two digits, is optional and can mean almost anything, including indication of development centres, technical fixing, and manufacturing for specific market (code .X..../29 seems to indicate “made in Holland for export to France”). We have seen /25 to denote suitability for 25 Hertz main power.
Sometimes radio documentation comes with an additional sheet to document a technical modification, which comes with a different execution suffix."
2Digits,Digit Group,Usually Year,Usually the Year,
